,Elo,Rank
Gerard Gordeau,1253.2289999359243,Gold
Teila Tuli,1150.0,Silver
Kevin Rosier,1159.9224666191717,Silver
Zane Frazier,1103.5685968236514,Iron
Royce Gracie,1452.69395991639,Diamond
Art Jimmerson,1150.0,Silver
Ken Shamrock,1295.1332158595012,Platinum
Patrick Smith,1299.9289125430687,Platinum
Jason DeLucia,1209.0578487477326,Gold
Trent Jenkins,1110.5573098742827,Iron
Minoki Ichihara,1169.0786067700578,Silver
Scott Baker,1157.1463117408382,Silver
Remco Pardoel,1254.3483468493764,Gold
Alberto Cerro Leon,1150.0,Silver
Orlando Wiet,1203.5685968236514,Gold
Robert Lucarelli,1150.0,Silver
Frank Hamaker,1250.0,Gold
Thaddeus Luster,1150.0,Silver
Johnny Rhodes,1241.9201806798171,Gold
David Levicki,1150.0,Silver
Ray Wizard,1142.8536882591618,Bronze
Scott Morris,1197.3344176916798,Silver
Sean Daugherty,1150.0,Silver
Fred Ettish,1157.1463117408382,Silver
Kimo Leopoldo,1189.1574063249764,Silver
Harold Howard,1154.111371954409,Silver
Roland Payne,1150.0,Silver
Christophe Leininger,1121.7588386059322,Bronze
Keith Hackney,1234.6445538096793,Gold
Emmanuel Yarborough,1150.0,Silver
Felix Mitchell,1088.7381390383848,Iron
Steve Jennum,1247.482917425021,Gold
Guy Mezger,1303.2515680184888,Platinum
Jason Fairn,1150.0,Silver
Marcus Bossett,1166.1056488496356,Silver
Eldo Dias Xavier,1150.0,Silver
Joe Charles,1220.070253340815,Gold
Dan Severn,1377.9263471106938,Emerald
Anthony Macias,1166.974441200188,Silver
Melton Bowen,1158.1506456706632,Silver
Joe Son,1157.1463117408382,Silver
Ron van Clief,1181.1876512393435,Silver
John Dowdy,1157.1463117408382,Silver
Dave Beneteau,1224.569743666776,Gold
Asbel Cancio,1150.0,Silver
Oleg Taktarov,1358.1371366007738,Emerald
Ernie Verdicia,1150.0,Silver
Todd Medina,1203.5685968236514,Gold
Larry Cureton,1110.204862456906,Iron
Jon Hess,1250.0,Gold
Andy Anderson,1150.0,Silver
He-Man Ali Gipson,1142.8536882591618,Bronze
Joel Sutton,1289.795137543094,Platinum
Jack McLaughlin,1150.0,Silver
Rudyard Moncayo,1160.1982590585155,Silver
Paul Varelans,1214.4014898270718,Gold
Cal Worsham,1160.7459806704405,Silver
Tank Abbott,1190.5276771341553,Silver
John Matua,1150.0,Silver
Scott Bessac,1197.8820095696785,Silver
David Hood,1150.0,Silver
Onassis Parungao,1250.0,Gold
Francesco Maturi,1150.0,Silver
Geza Kalman,1209.275828839674,Gold
Marco Ruas,1286.6214946922305,Platinum
Ryan Parker,1159.2571735342099,Silver
Mark Hall,1247.3334171801728,Gold
Gerry Harris,1150.513544306304,Silver
Sam Adkins,1203.692276449652,Gold
Keith Mielke,1150.0,Silver
Gary Goodridge,1226.2278053477196,Gold
Paul Herrera,1150.0,Silver
Jerry Bohlander,1298.3819468283236,Platinum
Scott Ferrozzo,1230.512287424823,Gold
Joe Moreira,1205.9909789877456,Gold
Don Frye,1428.0196351874108,Diamond
Thomas Ramirez,1150.0,Silver
Amaury Bitetti,1219.6314788168,Gold
Koji Kitao,1155.6452279647356,Silver
Mark Schultz,1257.6008926107108,Gold
Rafael Carino,1250.0,Gold
Matt Andersen,1150.0,Silver
Steve Nelmark,1246.1838718123383,Gold
Tai Bowden,1203.067668809603,Gold
Dieuseul Berto,1143.8639438691464,Bronze
John Campetella,1150.9820605980672,Silver
Mark Coleman,1293.364219486877,Platinum
Moti Horenstein,1110.204862456906,Iron
Brian Johnston,1171.6305819859979,Silver
Scott Fiedler,1150.0,Silver
Roberto Traven,1196.932331190397,Silver
Dave Berry,1150.0,Silver
Sam Fulton,1103.9912033884557,Iron
Fabio Gurgel,1150.513544306304,Silver
Reza Nasri,1153.1094867851978,Silver
Julian Sanchez,1170.6975115928162,Silver
Jack Nilson,1196.8540097411526,Silver
Justin Martin,1250.0,Gold
Eric Martin,1150.0,Silver
Vitor Belfort,1391.4720668640946,Emerald
Tra Telligman,1121.984090771275,Bronze
Jim Mullen,1154.80858103743,Silver
Nick Sanzo,1207.7360852377706,Gold
Jackie Lee,1150.0,Silver
Yoshiki Takahashi,1250.0,Gold
Wallid Ismail,1150.0,Silver
Rainy Martinez,1156.6277968872446,Silver
Saeed Hosseini,1141.8493543293368,Bronze
Randy Couture,1404.1183527600322,Emerald
Tony Halme,1150.0,Silver
Steven Graham,1203.5685968236514,Gold
Dmitri Stepanov,1150.0,Silver
Tito Ortiz,1341.7102458965473,Emerald
Wes Albritton,1150.0,Silver
Enson Inoue,1250.0,Gold
Royce Alger,1110.204862456906,Iron
Alex Hunter,1282.7148882280742,Platinum
Dan Bobish,1203.5676034895403,Gold
Mark Kerr,1354.581405168131,Emerald
Tony Fryklund,1202.891573624353,Gold
Donnie Chappell,1150.0,Silver
Kevin Jackson,1209.7069962399733,Gold
Todd Butler,1150.0,Silver
Yuri Vaulin,1143.3286065864522,Bronze
Maurice Smith,1266.7680843147643,Platinum
Dwayne Cason,1213.1317126212155,Gold
Houston Dorr,1150.0,Silver
Harry Moskowitz,1115.4120184153487,Iron
Carlos Barreto,1148.2910238900522,Bronze
Greg Stott,1162.7220183117545,Silver
Brad Kohler,1196.8540097411526,Silver
Yoji Anjo,1082.6496566875624,Iron
Kazushi Sakuraba,1246.4314031763486,Gold
Marcus Silveira,1153.5685968236514,Silver
Frank Shamrock,1391.668722366845,Emerald
Chris Brennan,1154.521967660861,Silver
Courtney Turner,1150.0,Silver
LaVerne Clark,1260.3925937737426,Gold
Josh Stuart,1150.0,Silver
Pat Miletich,1364.7849331063278,Emerald
Townsend Saunders,1111.4741233275583,Iron
Mikey Burnett,1245.5836802457786,Gold
Eugenio Tadeu,1150.0,Silver
Tsuyoshi Kohsaka,1251.3369787666797,Gold
Igor Zinoviev,1159.0424123100404,Silver
Carlos Newton,1200.7693022980473,Gold
Bob Gilstrap,1150.0,Silver
Dan Henderson,1315.091563137,Platinum
Allan Góes,1150.0,Silver
Chuck Liddell,1392.8442928174302,Emerald
Noe Hernandez,1150.0,Silver
Andre Roberts,1240.7630865254891,Gold
Mike van Arsdale,1289.795137543094,Platinum
Joe Pardo,1150.0,Silver
Hugo Duarte,1159.0884563320967,Silver
Pete Williams,1155.2954303728948,Silver
Jeremy Horn,1214.8760946266573,Gold
Tulio Palhares,1250.0,Gold
Adriano Santos,1150.0,Silver
Cesar Marscucci,1250.0,Gold
Paulo Santos,1150.0,Silver
Ebenezer Fontes Braga,1244.8681089813103,Gold
Tsuyoshi Kosaka,1193.6548382480821,Silver
Pedro Rizzo,1331.8215889191627,Emerald
Wanderlei Silva,1247.3281724645349,Gold
John Lober,1168.1930357284107,Silver
Laverne Clark,1250.0,Gold
Frank Caracci,1150.0,Silver
Bas Rutten,1305.5486875034912,Platinum
Evan Tanner,1310.312152313186,Platinum
Darrel Gholar,1150.0,Silver
Jorge Patino,1168.3684807480033,Silver
Sione Latu,1250.0,Gold
Joey Roberts,1150.0,Silver
Jason Godsey,1115.7645730538795,Iron
Valeri Ignatov,1116.413022486977,Bronze
Kevin Randleman,1287.674664689876,Platinum
Ron Waterman,1231.5477669983668,Gold
Chris Condo,1150.0,Silver
Fabiano Iha,1169.0430391279363,Silver
Marcelo Mello,1250.0,Gold
Dave Roberts,1150.0,Silver
Tony Petarra,1145.3748033492745,Bronze
Travis Fulton,1210.5998654830719,Gold
David Dodd,1105.0580668934588,Iron
Eugene Jackson,1158.9098724409475,Silver
Tim Lajcik,1118.9976326220608,Bronze
Paul Jones,1195.2740863634588,Silver
Flavio Luiz Moura,1150.0,Silver
Daiju Takase,1073.7723719051387,Iron
André Pederneiras,1171.452194299944,Silver
Matt Hughes,1400.7867492932787,Emerald
John Lewis,1208.0839335212627,Gold
Lowell Anderson,1150.0,Silver
Steve Judson,1103.1174604230969,Iron
Jens Pulver,1321.846930294123,Platinum
Alfonso Alcarez,1200.0,Silver
Kenichi Yamamoto,1259.8688314420633,Gold
Katsuhisa Fujii,1202.5621114509372,Gold
Masutatsu Yano,1150.0,Silver
Keiichiro Yamamiya,1156.1360561308536,Silver
Joe Slick,1203.8490448392115,Gold
Shonie Carter,1207.0019767154351,Gold
Brad Gumm,1156.6362656332547,Silver
Scott Adams,1250.0,Gold
Ian Freeman,1240.9663699295147,Gold
David Velasquez,1150.0,Silver
Bob Cook,1250.0,Gold
Tiki Ghosn,1050.2055318566042,Iron
Dave Menne,1134.2604854294873,Bronze
Lance Gibson,1208.8636959680707,Gold
Jermaine Andre,1150.0,Silver
Tedd Williams,1190.1345070454577,Silver
Koji Oishi,1131.3983274941045,Bronze
Ikuhisa Minowa,1258.263813529035,Gold
Satoshi Honma,1148.5788513126786,Bronze
Sanae Kikuta,1261.8023010564389,Platinum
Murilo Bustamante,1312.2105767534742,Platinum
Adrian Serrano,1157.1463117408382,Silver
Nate Schroeder,1142.8536882591618,Bronze
Joao Roque,1156.6425185127641,Silver
Marcelo Aguiar,1156.2792025117778,Silver
Alex Andrade,1145.5617657571752,Bronze
John Alessio,1050.892145614218,Iron
Tyrone Roberts,1242.0212711561544,Gold
CJ Fernandes,1192.8536882591618,Silver
Jeff Monson,1267.654814500086,Platinum
Yuki Kondo,1167.4595653660388,Silver
Alexandre Dantas,1112.985772487575,Iron
Bobby Hoffman,1135.7581198410155,Bronze
Ben Earwood,1250.0,Gold
Chris Lytle,1254.6778637856428,Gold
Mark Hughes,1250.0,Gold
Alex Stiebling,1150.0,Silver
Andrei Arlovski,1277.2742461522778,Platinum
Aaron Brink,1150.0,Silver
Josh Barnett,1371.0499549300494,Emerald
Gan McGee,1222.4576511611515,Gold
Renato Sobral,1291.2534563768334,Platinum
Dennis Hallman,1227.428323918677,Gold
Matt Lindland,1351.8145196458609,Emerald
Sean Sherk,1356.5211573280435,Emerald
Phil Baroni,1124.7716799968314,Bronze
Curtis Stout,1110.204862456906,Iron
Mark Robinson,1194.5136563397575,Silver
Elvis Sinosic,1089.9392718938298,Iron
Phil Johns,1152.0588367324774,Silver
Caol Uno,1186.2839050412213,Silver
Tony DeSouza,1194.2619144188561,Silver
Steve Berger,1124.7717133003189,Bronze
B.J. Penn,1290.1820704928791,Platinum
Joey Gilbert,1150.0,Silver
Ricardo Almeida,1261.2330256805812,Platinum
Semmy Schilt,1205.4479191066205,Gold
Matt Serra,1248.4553487810967,Gold
Paul Rodriguez,1157.1463117408382,Silver
Ricco Rodriguez,1314.345446894578,Platinum
Vladimir Matyushenko,1292.6797475705575,Platinum
Din Thomas,1237.5895447974763,Gold
Jutaro Nakao,1213.5692093775392,Gold
Yves Edwards,1196.0486331526988,Silver
Gil Castillo,1180.5556657453267,Silver
Frank Mir,1330.141737679305,Emerald
Homer Moore,1162.591236120742,Silver
Keith Rockel,1196.9718834815867,Silver
Andrei Semenov,1197.7872074462348,Silver
Amar Suloev,1128.407578164161,Bronze
Kelly Dullanty,1152.0204336135325,Silver
Hayato Sakurai,1160.7452170485774,Silver
Robbie Lawler,1363.3361881778937,Emerald
Aaron Riley,1141.220876576666,Bronze
Benji Radach,1203.4176648763992,Gold
Ivan Salaverry,1177.2301613010427,Silver
Paul Creighton,1162.6832031351669,Silver
Joao Marcos Pierini,1136.5390341778239,Bronze
Rodrigo Ruas,1150.513544306304,Silver
Pete Spratt,1175.4675708773823,Silver
Zach Light,1150.0,Silver
Nick Serra,1148.9717080798239,Bronze
Chris Haseman,1169.6269144537994,Silver
Phillip Miller,1296.2611885361152,Platinum
James Zikic,1150.0,Silver
Genki Sudo,1240.5161784352574,Gold
Leigh Remedios,1150.0,Silver
Mark Weir,1158.9562002553344,Silver
Tim Sylvia,1368.439347811683,Emerald
Wesley Correira,1209.7308363737368,Gold
Travis Wiuff,1117.3493123709757,Bronze
Rich Clementi,1218.8219073599282,Gold
David Loiseau,1196.4519460380013,Silver
Hermes França,1253.081874566197,Gold
Rich Crunkilton,1150.0,Silver
Duane Ludwig,1190.510450451635,Silver
Rich Franklin,1387.1835600694858,Emerald
Sean Alvarez,1142.8536882591618,Bronze
Dave Strasser,1196.932331190397,Silver
Romie Aram,1150.0,Silver
Eddie Ruiz,1150.5688934962463,Silver
Falaniko Vitale,1234.3536816810924,Gold
Wes Sims,1099.7441085408454,Iron
Vernon White,1184.768840681818,Silver
Marvin Eastman,1110.1791805464438,Iron
Nick Diaz,1265.7274492850893,Platinum
Jeremy Jackson,1111.8224445535864,Iron
Josh Thomson,1195.5888363995605,Silver
Gerald Strebendt,1150.0,Silver
Karo Parisyan,1314.475477858754,Platinum
Edwin Dewees,1093.0185542891873,Iron
Jorge Rivera,1250.5754993146365,Gold
Nick Agallar,1155.896130557865,Silver
Chris Liguori,1141.8683376853653,Bronze
Frank Trigg,1163.5870453279576,Silver
Jeff Curran,1113.9281736282355,Iron
Georges St-Pierre,1589.6728911812186,Grandmaster
Lee Murray,1258.157650303404,Gold
Renato Verissimo,1180.570887474986,Silver
Mike Brown,1158.6422380926085,Silver
Jonathan Wiezorek,1250.0,Gold
Wade Shipp,1150.0,Silver
Mike Kyle,1233.4774701006095,Gold
Jay Hieron,1068.7798347506525,Iron
Trevor Prangley,1185.819023210274,Silver
Ivan Menjivar,1153.1055787696343,Silver
Ronald Jhun,1143.7890067643552,Bronze
Justin Eilers,1143.1973101431854,Bronze
David Terrell,1276.93846458048,Platinum
Joe Riggs,1194.5917418381962,Silver
Joe Doerksen,1101.3209941380137,Iron
Travis Lutter,1164.7782408166188,Silver
Patrick Côté,1253.3715609952353,Gold
Drew Fickett,1252.623188394144,Gold
Gideon Ray,1077.929636111348,Iron
