,Event #,Elo,Rank
Gerard Gordeau,1,1296.4314031763486,Platinum
Teila Tuli,1,1150.0,Silver
Kevin Rosier,1,1250.0,Gold
Zane Frazier,1,1150.0,Silver
Royce Gracie,4,1493.4605276989,Diamond
Art Jimmerson,1,1150.0,Silver
Ken Shamrock,9,1360.5426960214147,Emerald
Patrick Smith,6,1299.9289125430687,Platinum
Jason DeLucia,2,1289.795137543094,Platinum
Trent Jenkins,1,1150.0,Silver
Minoki Ichihara,2,1169.0786067700578,Silver
Scott Baker,2,1157.1463117408382,Silver
Remco Pardoel,7,1297.8988891196227,Platinum
Alberto Cerro Leon,2,1150.0,Silver
Orlando Wiet,2,1250.0,Gold
Robert Lucarelli,2,1150.0,Silver
Frank Hamaker,2,1250.0,Gold
Thaddeus Luster,2,1150.0,Silver
Johnny Rhodes,2,1289.795137543094,Platinum
David Levicki,2,1150.0,Silver
Ray Wizard,2,1142.8536882591618,Bronze
Scott Morris,2,1250.0,Gold
Sean Daugherty,2,1150.0,Silver
Fred Ettish,2,1157.1463117408382,Silver
Kimo Leopoldo,48,1212.6569480761254,Gold
Harold Howard,3,1250.0,Gold
Roland Payne,3,1150.0,Silver
Christophe Leininger,3,1150.513544306304,Silver
Keith Hackney,4,1289.795137543094,Platinum
Emmanuel Yarborough,3,1150.0,Silver
Felix Mitchell,3,1156.6277968872446,Silver
Steve Jennum,4,1296.0087966115443,Platinum
Guy Mezger,15,1349.2081908551859,Emerald
Jason Fairn,4,1150.0,Silver
Marcus Bossett,4,1250.0,Gold
Eldo Dias Xavier,4,1150.0,Silver
Joe Charles,8,1255.727404913519,Gold
Dan Severn,10,1432.5414718671109,Diamond
Anthony Macias,6,1203.067668809603,Gold
Melton Bowen,4,1158.1506456706632,Silver
Joe Son,4,1157.1463117408382,Silver
Ron van Clief,4,1181.1876512393435,Silver
John Dowdy,5,1157.1463117408382,Silver
Dave Beneteau,5,1296.4314031763486,Platinum
Asbel Cancio,5,1150.0,Silver
Oleg Taktarov,8,1388.0198540216222,Emerald
Ernie Verdicia,5,1150.0,Silver
Todd Medina,5,1250.0,Gold
Larry Cureton,5,1150.0,Silver
Jon Hess,5,1250.0,Gold
