Weight class,Fighter 1,Result,Fighter 2,Method,Round,Time,#
Bantamweight,Petr Yan,def.,Deiveson Figueiredo,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00,714
Women's Strawweight,Yan Xiaonan,def.,Tabatha Ricci,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,714
Welterweight,Muslim Salikhov,def.,Song Kenan,KO (spinning wheel kick),1,3:49,714
Women's Flyweight,Gabriella Fernandes,def.,Wang Cong,Technical Submission (rear-naked choke),2,3:49,714
Light Heavyweight,Carlos Ulberg,def.,Volkan Oezdemir,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,714
Light Heavyweight,Zhang Mingyang,def.,Ozzy Diaz,TKO (elbow and punches),1,2:25,714
Bantamweight,You Su-young,def.,Baergeng Jieleyisi,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,714
Flyweight,Choi Dong-hun,def.,Kiru Singh Sahota,KO (punches),1,2:36,714
Women's Strawweight,Shi Ming,def.,Feng Xiaocan,KO (head kick),3,0:46,714
Flyweight,Carlos Hernandez,def.,Nyamjargal Tumendemberel,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,714
Flyweight,Lone'er Kavanagh,def.,Jose Ochoa,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,714
Bantamweight,Xiao Long,def.,Quang Le,KO (punch),3,1:28,714
Lightweight,Nikolas Motta,def.,Maheshate Hayisaer,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,714
Heavyweight,Jon Jones (c),def.,Stipe Miocic,TKO (spinning back kick and punches),3,4:29,713
Lightweight,Charles Oliveira,def.,Michael Chandler,"Decision (unanimous) (49–46, 49–46, 49–45)",5,5:00,713
Middleweight,Bo Nickal,def.,Paul Craig,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,713
Women’s Flyweight,Viviane Araújo,def.,Karine Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,713
Catchweight (166.2 lb),Maurício Ruffy,def.,James Llontop,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,713
Bantamweight,Marcus McGhee,def.,Jonathan Martinez,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,713
Lightweight,Jim Miller,def.,Damon Jackson,Submission (guillotine choke),1,2:44,713
Lightweight,David Onama,def.,Roberto Romero,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,713
Heavyweight,Marcin Tybura,def.,Jhonata Diniz,TKO (doctor stoppage),2,5:00,713
Welterweight,Ramiz Brahimaj,def.,Mickey Gall,KO (punches),1,2:55,713
Welterweight,Oban Elliott,def.,Bassil Hafez,KO (punches),3,0:40,713
Women's Flyweight,Eduarda Moura,def.,Veronica Hardy,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,713
Welterweight,Carlos Prates,def.,Neil Magny,KO (punch),1,4:50,712
Middleweight,Reinier de Ridder,def.,Gerald Meerschaert,Submission (arm-triangle choke),3,1:44,712
Bantamweight,Gastón Bolaños,def.,Cortavious Romious,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00,712
Women's Strawweight,Gillian Robertson,def.,Luana Pinheiro,"Decision (unanimous) (29–27, 29–28, 29–28)",3,5:00,712
Middleweight,Mansur Abdul-Malik,def.,Duško Todorović,TKO (knee and punches),1,2:44,712
Women's Strawweight,Denise Gomes,def.,Karolina Kowalkiewicz,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,712
Catchweight (174 lb),Elizeu Zaleski dos Santos,def.,Zach Scroggin,TKO (punches),1,1:15,712
Welterweight,Charles Radtke,def.,Matthew Semelsberger,TKO (punches),1,0:51,712
Bantamweight,Da'Mon Blackshear,def.,Cody Stamann,Submission (rear-naked choke),1,4:19,712
Middleweight,Tresean Gore,def.,Antonio Trócoli,Submission (guillotine choke),1,1:23,712
Catchweight (137 lb),Melissa Mullins,def.,Klaudia Syguła,TKO (punches),2,1:20,712
Flyweight,Brandon Moreno,def.,Amir Albazi,"Decision (unanimous) (49–46, 50–45, 50–45)",5,5:00,711
Women's Flyweight,Erin Blanchfield,def.,Rose Namajunas,"Decision (unanimous) (48–47, 48–47, 48–47)",5,5:00,711
Light Heavyweight,Brendson Ribeiro,def.,Caio Machado,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,711
Women's Flyweight,Jasmine Jasudavicius,def.,Ariane da Silva,Submission (brabo choke),3,2:28,711
Middleweight,Dustin Stoltzfus,def.,Marc-André Barriault,KO (punches),1,4:28,711
Welterweight,Mike Malott,def.,Trevin Giles,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,711
Bantamweight,Aiemann Zahabi,def.,Pedro Munhoz,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,711
Bantamweight,Charles Jourdain,def.,Victor Henry,Submission (guillotine choke),2,3:43,711
Featherweight,Youssef Zalal,def.,Jack Shore,Submission (arm-triangle choke),2,0:59,711
